nom,latitude,longitude,code_postal,codes_postaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latitude_centre,longitude_centre
Cruzilles-lès-Mépillat,46.222,4.875,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.222,4.875
Culoz-Béon,45.856,5.784,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.856,5.784
Curciat-Dongalon,46.488,5.163,1560,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.488,5.163
Curtafond,46.273,5.102,1310,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.273,5.102
Cuzieu,45.82,5.677,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82,5.677
Dagneux,45.853,5.073,1120,"01124, 01120, 01121, 01123, 01127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.853,5.073
Divonne-les-Bains,46.376,6.116,1220,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.376,6.116
Dompierre-sur-Veyle,46.067,5.217,1240,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.067,5.217
Dompierre-sur-Chalaronne,46.142,4.901,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.142,4.901
Domsure,46.424,5.293,1270,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.424,5.293
Dortan,46.313,5.642,1590,"01590, 01102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.313,5.642
Douvres,45.984,5.371,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.984,5.371
Drom,46.22,5.368,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22,5.368
Druillat,46.068,5.294,1160,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.068,5.294
Échallon,46.227,5.733,1130,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.227,5.733
Échenevex,46.316,6.019,1170,"01174, 01170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.316,6.019
Évosges,45.965,5.503,1230,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.965,5.503
Faramans,45.91,5.125,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.91,5.125
Fareins,46.021,4.762,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.021,4.762
Farges,46.166,5.9,1550,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.166,5.9
Feillens,46.337,4.885,1570,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.337,4.885
Ferney-Voltaire,46.252,6.108,1210,"01212, 01211, 01216, 01210, 01214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.252,6.108
Flaxieu,45.811,5.745,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.811,5.745
Foissiat,46.378,5.185,1340,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.378,5.185
Francheleins,46.074,4.813,1090,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.074,4.813
Frans,45.994,4.78,1480,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.994,4.78
Garnerans,46.214,4.828,1140,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.214,4.828
Genouilleux,46.12,4.793,1090,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.12,4.793
Béard-Géovreissiat,46.19,5.551,1460,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.19,5.551
Géovreisset,46.251,5.613,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.251,5.613
Gex,46.347,6.046,1170,"01173, 01172, 01171, 01170, 01174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.347,6.046
Giron,46.223,5.78,1130,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.223,5.78
Gorrevod,46.415,4.951,1190,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.415,4.951
Grand-Corent,46.207,5.433,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.207,5.433
Grièges,46.263,4.846,1290,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.263,4.846
Grilly,46.332,6.114,1220,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.332,6.114
Groissiat,46.226,5.611,1100,"01117, 01100, 01115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.226,5.611
Guéreins,46.107,4.782,1090,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.107,4.782
Hautecourt-Romanèche,46.161,5.429,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.161,5.429
Plateau d'Hauteville,45.97,5.576,1110,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.97,5.576
Haut Valromey,46.032,5.703,1260,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.032,5.703
Illiat,46.187,4.888,1140,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.187,4.888
Injoux-Génissiat,46.05,5.76,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,5.76
Innimond,45.792,5.574,1680,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.792,5.574
Izenave,46.038,5.524,1430,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.038,5.524
Izernore,46.218,5.563,1580,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.218,5.563
Izieu,45.656,5.639,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.656,5.639
